station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,int_scale,min_K,max_K
003_BL_Ar,11.521804042682264,0.0065773514421224,0.8151365293496291,0.0096103985767023,1642,46.49998395,11.87607301,113.6647,2.9112983813980593,5.7220458984375e-06,6.0
009_BL_Ca,11.244834172079509,0.0063262330793763,0.8019480054097177,0.0090416802772999,1007,46.44043805,11.99004162,104.2038,3.1365099385336643,5.7220458984375e-06,6.0
011_BL_Ma,14.609241824170786,0.0043763331057055,0.8004143517839295,0.013772157072424,1475,46.42867129,11.90478762,105.5309,3.2391425317891898,5.7220458984375e-06,6.0
015_BL_Ga,14.687434440704608,0.005966720000048,0.8585393807226083,0.0100543415681894,1365,46.3131289,11.88273666,94.8058,4.162354715077775,5.7220458984375e-06,6.0
019_BL_Ag,18.98798517775024,0.0039265005644865,0.8427397689410242,0.0130439302636944,585,46.27804651,12.03319083,86.2206,5.006361214025773,5.7220458984375e-06,6.0
022_BL_Sa,10.99330206041906,0.0083302422115054,0.8489890499717726,0.0102813038639413,544,46.04834616,12.15448034,59.0755,3.098425357219929,5.7220458984375e-06,6.0
025_BL_So,8.855168618222713,0.0079172443582473,0.7822446344869655,0.0134499537356954,426,46.14063559,12.07539462,70.95639999999999,2.571331898458406,5.7220458984375e-06,6.0
048_BL_Po,11.313524668466036,0.0081651716313641,0.8527098852668125,0.0045230121366645,1316,46.59362172,12.11232905,117.6492,3.5800244684493316,5.7220458984375e-06,6.0
056_BL_Fo,13.118056194140369,0.0082994107715123,0.8978020050445725,0.0070353306989766,872,46.34666725,12.1845653,89.7095,4.3196171968808255,5.7220458984375e-06,6.0
058_BL_Sa,10.381375312211352,0.0062925733786607,0.7814219234152974,0.0169188021994783,902,46.55719592,12.55254488,98.0267,2.5366679250551503,5.7220458984375e-06,6.0
059_BL_Do,6.66024883817178,0.0154895309764131,0.8371223896523347,2.730865002456118e-05,822,46.46094955,12.41035969,94.6068,2.3177831736856924,5.7220458984375e-06,6.0
076_VI_Tu,16.50783938730512,0.0057706450211247,0.882370593250423,0.0105919508177217,714,45.70401092,11.18480016,82.7204,4.952253063930049,5.7220458984375e-06,6.0
