station,n_valid_years,zero_crossing_exists,tau0,gamma_acf,mean_annual_mean,slope_mean,pvalue_mean,r2_mean,cv_mean,relative_drift_mean,mean_stable,mean_annual_variance,slope_variance,pvalue_variance,r2_variance,cv_variance,relative_drift_variance,variance_stable,mean_annual_gamma,slope_gamma,pvalue_gamma,r2_gamma,cv_gamma,relative_drift_gamma,gamma_stable,second_order_stable,status
003_BL_Ar,39,True,130.33333333333331,2.9112983813980593,-4.744982800657532e-07,8.47990833054167e-05,0.004595326495348621,0.19746849220240198,4585.421743695166,6791.099780507735,False,0.07894742469288973,0.0019020634304705347,3.082873008059323e-05,0.3784131784932548,0.4465556390973632,0.9155258786343914,False,2.7497834670464947,-0.013522431220852654,0.4157790170541485,0.017977248697366683,0.4181829747114306,0.18687012724835483,True,False,unstable
009_BL_Ca,38,True,206.16666666666666,3.136509938533665,-5.18753656579871e-07,5.4281169107880494e-05,0.08312503616260049,0.08108971891216787,4083.556823396191,3871.593446170438,False,0.09628835215932798,0.0007218715477012848,0.22651475850871364,0.04035734915615003,0.4147232019093909,0.2773881436952192,False,2.908838338710812,-0.007666603406389594,0.7365654270539109,0.003182438765619506,0.5192026052013085,0.09751807869877503,True,False,unstable
011_BL_Ma,37,True,129.83333333333331,3.23914253178919,-9.072449938902702e-07,7.269412193535678e-05,0.05248732822632535,0.10323782567799296,2699.3383657824156,2884.5443152584257,False,0.08797275568674441,0.001815255448338059,0.010979803668635142,0.17091541794732232,0.5402577050352654,0.7428344790387967,False,3.1236342703944877,-0.02814244753033954,0.19749105756366778,0.046992210933818876,0.44987388585484434,0.3243427441856931,False,False,unstable
015_BL_Ga,38,True,209.33333333333331,4.162354715077775,-7.697682566621365e-07,7.135585925549981e-05,0.09333424068765564,0.07624281504555604,3730.814531014548,3429.8202992960046,False,0.0909279793203513,0.0015228111308476192,0.010986317584052111,0.16650449168024087,0.4561093809637131,0.6196553828921515,False,3.8275321442977828,-0.027411602822334905,0.31306948752038966,0.02825639645024103,0.47346804696600725,0.2649825700190081,False,False,unstable
019_BL_Ag,35,True,299.25,5.006361214025775,-6.936114343618448e-07,6.301630674195505e-05,0.3067705975924647,0.031623396580447244,5235.125469208591,3088.983720687538,False,0.14929484392034295,0.001649991120860191,0.12860877199403964,0.06857348455792919,0.4324673630918797,0.3757644714051798,False,4.1270079403843045,-0.023883111945371537,0.6335454646056854,0.006968056987826172,0.7103860301978727,0.19675896384803584,True,False,unstable
022_BL_Sa,34,True,126.33333333333333,3.098425357219929,5.3556946169375406e-05,0.0001713405507741118,0.018262393695670745,0.16204200236350375,79.14316430204076,105.57432004550813,False,0.28537744341291194,0.0032935114852632786,0.07832748391933685,0.09368132917733489,0.37548783813074005,0.38084957841755857,False,2.8942650697968095,0.0036257768443029837,0.8700441622529839,0.0008492373775789744,0.4280860494603282,0.04134059354501296,True,False,unstable
025_BL_So,38,True,196.25,2.571331898458406,-9.51276066375552e-07,9.2613778813221e-05,0.0675320766587692,0.08982773635841294,3609.9175706733595,3602.2243565374793,False,0.24289978319850403,0.0019763067361859552,0.06656872623656236,0.09043381406741086,0.30067358699938485,0.3010432873837604,False,2.4001166012015207,-0.017689687106163088,0.26446264268500747,0.0344644890050113,0.4411998613192556,0.27270276060770393,False,False,unstable
048_BL_Po,33,True,182.41666666666666,3.5800244684493316,-9.97653409244118e-07,8.267406857351818e-05,0.04482231245938735,0.12360290416200849,2279.1929227570035,2651.7928669807525,False,0.09043225402956218,0.002712372132423536,0.006956749897253352,0.21235927036789481,0.6293556147403967,0.9597892828058857,False,3.5349920443187477,-0.026683545428194174,0.4572059261043431,0.01795611993467209,0.5446965812831509,0.24154890392879777,False,False,unstable
056_BL_Fo,37,True,221.25,4.3196171968808255,-2.059638965234563e-06,9.972770349312275e-05,0.04843970639152154,0.10672573019706208,1604.3244003798493,1743.1197342605858,False,0.11238654065108128,0.0014331709109214612,0.06155158330694119,0.09632322928442393,0.44475434694705684,0.45907768398489457,False,3.8332941168846584,-0.011519266080536394,0.7185670422067223,0.003756855973863793,0.5306918667694793,0.10818204036906362,True,False,unstable
058_BL_Sa,36,True,130.0,2.5366679250551503,4.397133269403983e-06,8.623011513676008e-05,0.013523734706477155,0.1664040690648456,506.48764506751894,686.368559894863,False,0.13842931930989835,0.002198322473445305,0.049548081288257106,0.10871915633891216,0.5074248931426997,0.5558164047483256,False,2.4966962532708923,0.0023136369732558184,0.9118882779044895,0.00036541447067327915,0.5107379452548966,0.032433778821859584,True,False,unstable
