station_id,A,B,c
003_BL_Ar,1.355276033581878,0.00152239453224574,0.02447655864523526
009_BL_Ca,2.4130693944901878,0.002434101086417523,0.03899774388610633
011_BL_Ma,1.4659728206572777,0.0010613418610516685,0.027376967931850054
015_BL_Ga,2.196417510230359,0.0017464972971838076,0.028933594899388217
019_BL_Ag,6.365731696925982,0.0021294511341167833,0.05297872798207215
022_BL_Sa,1.5070420754166969,0.0022216238549171738,0.03481855806263355
025_BL_So,1.0454648492348133,0.0019407028648775893,0.029556182963280123
048_BL_Po,2.357059897539634,0.0032625161318498653,0.03655806829062739
056_BL_Fo,1.4833104356303493,0.00196055374367889,0.026849796067865514
058_BL_Sa,2.5847904588642177,0.0029277435464703104,0.05101002275429893
059_BL_Do,3.198105847857075,0.019345085339876493,0.08969682842031497
076_VI_Tu,3.829254735111108,0.0021884025312990953,0.042638387102872245
091_BL_Pa,89.79483829377962,0.002510776242387357,0.08346463491935185
093_BL_To,73.708763771499,0.0026427790401275506,0.0924265408223706
096_RO_Ba,0.5919312680751089,0.04497002366639505,0.10087741969332074
101_RO_Po,0.6142166602474769,0.03124205583857938,0.08937699513997167
104_VR_Vi,0.3902839706469474,0.008585275783600802,0.07361868837018568
105_VI_Lo,0.366675782986243,0.006551210953262753,0.06216725894668845
112_RO_Ro,0.193045824003096,0.013530978412715701,0.06239665039717732
114_RO_Vi,0.2638200429148626,0.006104804510432891,0.061748764176666186
115_RO_Ad,0.13081574680469416,0.006640292283810224,0.05477451876533728
116_RO_Fr,0.33646608178161547,0.009238089888062387,0.08175407598921164
117_VR_So,0.4361603538136346,0.012798719078815324,0.06808162129675184
118_VR_Ba,0.5783090417370583,0.006722635759711131,0.06953146734383442
120_VR_Do,0.7817395799165786,0.005995241130426057,0.061118942507598736
123_VR_Ar,0.4471795777539573,0.016166035587409807,0.07903722501672904
125_VR_Sa,1.0647686513550432,0.014425892503333022,0.09056880024782281
126_VR_Il,0.7481252420720127,0.015730606167726435,0.0882201746389481
127_VR_Bu,0.5731737128949793,0.017482649727847438,0.08421225696460358
128_VR_Gr,0.6097596550826448,0.01916833566419166,0.09704117567039894
129_VR_Ca,0.4965741631212246,0.008474799806392356,0.06617171100087159
134_VI_Ma,0.4261516234812246,0.003742440652434936,0.045316045002471564
135_VI_Ri,2.6662356045445974,0.0022997876092026655,0.029401741385231064
137_VI_Va,1.7383120845002926,0.001329325023156249,0.023415788506452033
139_VI_Lu,0.7233020249242463,0.004514330583595785,0.042086032572948545
140_VI_Pa,0.8725119765355834,0.0023461217393702222,0.02383935354316602
144_VI_Ro,0.7169969974516902,0.016128970421496462,0.07561985496552853
145_VI_Ba,0.41881991997588297,0.007189847964341289,0.05395235029971357
147_VI_Br,0.640483605360392,0.004394487788621687,0.04988349436549677
148_VI_Br,1.235258710087621,0.012998216354863484,0.06996418830477102
149_VI_Mo,0.47807608065395446,0.005789258832669335,0.0502714884741232
159_VE_Po,0.4341883462836974,0.010550183150093428,0.05315274531066249
163_VE_No,0.4036877212972272,0.0120442717248097,0.054208142207295376
165_VE_Fo,0.5027925827875296,0.009624346506263374,0.05631243930853838
166_VE_Lu,0.4741614958871176,0.011588348088381432,0.06374113743025968
167_VE_Mi,0.23661143052094674,0.010660126632190764,0.05273468471337322
168_VE_Ch,0.3983667656505227,0.022531181123998902,0.08250334908782582
169_PD_Ag,0.20798912603235864,0.011613232816908165,0.07307070389826256
170_PD_Te,0.6687951978251993,0.014781542505477713,0.0747767511413468
175_PD_Co,0.23029925183341765,0.01057719108752391,0.053967328746968024
179_PD_Ca,0.41135135982860843,0.006629524279000726,0.07149137527709125
183_TV_Vo,0.3628038475740189,0.007930782491188764,0.05149553860915369
184_TV_Ze,0.39264653024719026,0.010142583710857028,0.05568589775513436
185_TV_Va,0.6711171960593998,0.021875779051017025,0.07385306712795664
186_TV_Ga,0.45541673115989134,0.005891542003084184,0.04363335658945943
187_TV_Ro,0.4648169810969635,0.014933746830745309,0.061132113675152124
188_TV_Vi,0.409555740687483,0.007204082420291008,0.04496095984102839
189_TV_Va,0.5951855583594496,0.005136271029838073,0.04161356722137497
190_VI_Br,1.2825988903923795,0.002264820361060385,0.029928843281525
191_VI_Mo,1.0101945379796495,0.0011986404731207407,0.014977819162115595
195_TV_Fa,0.6373756166479412,0.006705236719781395,0.04371124747906091
196_TV_Od,0.4785141009191956,0.006952934826668373,0.05431669187914399
197_TV_Ma,0.8296049733300672,0.025992576023644968,0.0864937397127534
199_BL_Lo,1.3968221883734495,0.002718856474735727,0.03131490640421926
200_BL_La,1.6054373093756584,0.004056294933766333,0.03884230380751901
203_BL_Pa,3.0857027554156575,0.0023554018498701547,0.04082290828483085
216_BL_Ca,0.8250244206582902,0.00145124063750584,0.018609727804241107
236_BL_Sa,1.825781342646937,0.007359941966061316,0.05795172687687121
237_BL_Co,2.1370148718321604,0.003559920492308458,0.03605943367102928
246_BL_Co,2.094644233083664,0.005532850183231156,0.043934054074641855
247_BL_Ca,1.5513457606480376,0.0030320384457441416,0.036188715746499386
