model,equation,n_regression_params,intercept,slope,intercept_ci_low,intercept_ci_high,slope_ci_low,slope_ci_high,rss,rmse,loglike,aic,aicc,delta_aic,delta_aicc,akaike_weight_aicc
M2: additive,gamma_acf = alpha + gamma_spectrum,1,0.2822683562657194,1.0,0.1574514746203353,0.4070852379111035,,,5.63384256705319,0.3800756526263062,-17.610589346481607,39.221178692963214,39.55451202629655,0.0,0.0,0.6699326225739932
M3: unconstrained,gamma_acf = alpha + kappa * gamma_spectrum,2,0.3636060393911371,0.9498977599883641,0.14672311803768814,0.5804889607445861,0.8407880612798617,1.0590074586968665,5.505044868401664,0.37570599759078066,-17.1596166476048,40.3192332952096,41.00494758092388,1.0980546022463855,1.450435554627333,0.324394175272152
M1: multiplicative,gamma_acf = kappa * gamma_spectrum,1,0.0,1.0992947153068462,,,1.0282004589909497,1.1703889716227427,7.221893463324253,0.43032168835634194,-22.45293553113455,48.9058710622691,49.239204395602435,9.684692369305886,9.684692369305886,0.005284779831648067
M0: identity,gamma_acf = gamma_spectrum,0,0.0,1.0,,,,,8.741184140062282,0.4734267912447115,-26.17604117510549,54.35208235021098,54.46019045831908,15.130903657247764,14.905678432022533,0.00038842232220673235
