station_id,A,B,c
003_BL_Ar,1.3762426307532412,0.001497200653602205,0.024319836384181698
009_BL_Ca,2.269576488913274,0.002343007881522639,0.035498817542194895
011_BL_Ma,1.4329824287576314,0.0010366223097131736,0.0276769174178723
015_BL_Ga,2.222915771414606,0.0018339029436217032,0.03147287249085027
019_BL_Ag,6.3932879220717105,0.002026344128035594,0.05317629206591349
022_BL_Sa,1.6163068862544456,0.0022088192385910956,0.03467514563552764
025_BL_So,1.0260353546562582,0.0019395076803505776,0.028727045379864313
048_BL_Po,2.329433786968372,0.003149279026620762,0.03610219415322317
056_BL_Fo,1.444543980431321,0.001839250512929311,0.025285643700827906
058_BL_Sa,3.250907352954573,0.002927217101839593,0.0548321601061568
059_BL_Do,3.156875206107559,0.019837574380829268,0.094212857276689
076_VI_Tu,4.76988185081027,0.00215239396158118,0.042975774171659334
091_BL_Pa,33.322801959153445,0.002452549515646512,0.08266638771960648
093_BL_To,57.607344794131855,0.0027544297807183824,0.0937858014883663
096_RO_Ba,0.6104993304621285,0.04550910543434661,0.10525937868708006
101_RO_Po,0.6112865033701388,0.029544576149027234,0.08535172642331891
104_VR_Vi,0.3957497355560269,0.009617678155589247,0.08045220478322303
105_VI_Lo,0.38602241367153484,0.00712015597519463,0.06313793281787253
112_RO_Ro,0.1972232330115028,0.013922908435610767,0.06648858905570497
114_RO_Vi,0.2786876143836284,0.006431394747285236,0.0655446083940518
115_RO_Ad,0.12810991804844266,0.006796508007942067,0.056733194131513995
116_RO_Fr,0.33501857803634716,0.009023251605639021,0.08290367909915627
117_VR_So,0.43081824348454845,0.01274310634155908,0.07412472877214987
118_VR_Ba,0.5624543422539555,0.0064749225309208135,0.070271349215795
120_VR_Do,0.788513796665135,0.005760097505012566,0.05996341698744334
123_VR_Ar,0.4439986106080822,0.016143049744869936,0.07689612596223189
125_VR_Sa,1.0542534655747855,0.01696642123580661,0.09339607582694526
126_VR_Il,0.7453150838717298,0.01595916438162301,0.08942144258524386
127_VR_Bu,0.6053047707606936,0.01955536660500957,0.0900635464745643
128_VR_Gr,0.6532129576778816,0.019047978563417813,0.09771790528296088
129_VR_Ca,0.5003252783750157,0.00868613679367313,0.0660064383482863
134_VI_Ma,0.422632448045659,0.003923333956050448,0.04803761005160155
135_VI_Ri,2.678348990994103,0.0022311950430876377,0.02761081181405215
137_VI_Va,1.7497008677737749,0.0013283346220331993,0.02289383205733065
139_VI_Lu,0.6940864768437846,0.004574653993267634,0.04077660021966626
140_VI_Pa,0.9326753233987952,0.0024591273669890435,0.024198178799696227
144_VI_Ro,0.7352405790913391,0.01645396028975915,0.07636141219297839
145_VI_Ba,0.4189558285297472,0.0070410210634342975,0.05234993671613879
147_VI_Br,0.6524011495624842,0.004722467387050687,0.04965401301394052
148_VI_Br,1.1557344935829865,0.013375963973510418,0.06736728661125627
149_VI_Mo,0.48691025153356227,0.005779297592749388,0.05227057447952976
159_VE_Po,0.4334473874158927,0.00991345189069364,0.050911110839734555
163_VE_No,0.41710730763290077,0.013168760369748487,0.05556440234829544
165_VE_Fo,0.5211790639987341,0.010181627902311766,0.0575627131381103
166_VE_Lu,0.48160110471450834,0.012068463372664078,0.06200769481544384
167_VE_Mi,0.23379883890565867,0.010479160731738683,0.05382535434401415
168_VE_Ch,0.38570676560552297,0.021822372680235673,0.08293851658194348
169_PD_Ag,0.21305707555479483,0.012547510881922684,0.07659783077238208
170_PD_Te,0.7462691152310311,0.014807314873616554,0.07922101866315388
175_PD_Co,0.22688815751646021,0.010196982165335482,0.05085075782230745
179_PD_Ca,0.4122548820059368,0.0068125740211359,0.07477057987317312
183_TV_Vo,0.3510960120037811,0.007103002009784321,0.048170179626373155
184_TV_Ze,0.403066994921687,0.010719625199508651,0.05751339318300795
185_TV_Va,0.6788112001150757,0.02146910336621666,0.07506762315750981
186_TV_Ga,0.4637916891622407,0.006431593247729324,0.04384619438669594
187_TV_Ro,0.4437734268925066,0.015377486967883066,0.0634929192346642
188_TV_Vi,0.3983497035857727,0.007179955031785378,0.0446071184412756
189_TV_Va,0.6083935327269202,0.005280880030158182,0.043168168730462364
190_VI_Br,1.2541719135727285,0.0021984966380217057,0.03019065197310791
191_VI_Mo,0.9784303982925964,0.0011934202778002348,0.01481453092289018
195_TV_Fa,0.6385578224036251,0.0068722016145303984,0.043434107986551014
196_TV_Od,0.4806600198425809,0.007289946225721813,0.052760883414575965
197_TV_Ma,0.8472094670245276,0.02607173375640746,0.08687526588623572
199_BL_Lo,1.3347733281597765,0.002717905947071062,0.030745548237466887
200_BL_La,1.590658390737125,0.004242711708345684,0.038365439665330375
203_BL_Pa,3.008863303296043,0.0023579883184953886,0.03925334639699331
216_BL_Ca,0.7944313227824609,0.0014621134161902384,0.0205029516590894
236_BL_Sa,1.6934500101982877,0.007757773491681651,0.053908389121552915
237_BL_Co,2.212157736551101,0.003783817279507463,0.038377498791252684
246_BL_Co,2.2124114162923143,0.0057804361109296525,0.04593960380123741
247_BL_Ca,1.6839134255799384,0.0030517999265329042,0.03660718905513649
