model,equation,n_regression_params,intercept,slope,intercept_ci_low,intercept_ci_high,slope_ci_low,slope_ci_high,rss,rmse,loglike,aic,aicc,delta_aic,delta_aicc,akaike_weight_aicc
M2: additive,gamma_acf = alpha + gamma_spectrum,1,0.28226834619905905,1.0,0.1574514630637907,0.4070852293343274,,,5.633842701550596,0.3800756571631022,-17.61058981200746,39.22117962401492,39.55451295734826,0.0,0.0,0.6699326049992506
M3: unconstrained,gamma_acf = alpha + kappa * gamma_spectrum,2,0.36360603729531094,0.9498977553891802,0.14672311340845992,0.580488961182162,0.8407880559902428,1.0590074547881176,5.5050449783114095,0.3757060013413178,-17.159617036927692,40.319234073855384,41.00494835956967,1.0980544498404612,1.4504354022214088,0.32439419148192317
M1: multiplicative,gamma_acf = kappa * gamma_spectrum,1,0.0,1.0992947091734606,,,1.0282004528232678,1.1703889655236535,7.221893547610619,0.43032169086747357,-22.45293575871809,48.90587151743618,49.23920485076952,9.68469189342126,9.68469189342126,0.005284780950482135
M0: identity,gamma_acf = gamma_spectrum,0,0.0,1.0,,,,,8.741184052922717,0.4734267888849509,-26.176040980712884,54.35208196142577,54.46019006953387,15.130902337410845,14.905677112185614,0.00038842256834415595
