station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,min_K,max_K,gamma_acf,gamma_stable,gamma_spectrum
003_BL_Ar,11.521803985588525,0.0065773515874027,0.8151365321937597,0.0096103985767023,1642,46.49998395,11.87607301,113.6647,5.7220458984375e-06,6.0,2.9112983813980597,True,2.880450996397131
009_BL_Ca,11.244834182151829,0.0063262330505578,0.8019480048140453,0.0090416802772999,1007,46.44043805,11.99004162,104.2038,5.7220458984375e-06,6.0,3.136509938533665,True,2.811208545537957
011_BL_Ma,14.60915835433322,0.0043764397189924,0.800417143948277,0.013772157072424,1475,46.42867129,11.90478762,105.5309,5.7220458984375e-06,6.0,3.23914253178919,False,3.652289588583305
015_BL_Ga,14.687434461458052,0.0059667199530575,0.8585393795203387,0.0100543415681894,1365,46.3131289,11.88273666,94.8058,5.7220458984375e-06,6.0,4.162354715077775,False,3.671858615364513
019_BL_Ag,18.987734978234005,0.0039267164752775,0.842746601167928,0.0130439302636944,585,46.27804651,12.03319083,86.2206,5.7220458984375e-06,6.0,5.006361214025775,True,4.746933744558501
022_BL_Sa,10.993308095063536,0.0083302209583781,0.8489886740304725,0.0102813038639414,544,46.04834616,12.15448034,59.0755,5.7220458984375e-06,6.0,3.098425357219929,True,2.748327023765884
025_BL_So,8.855168575441533,0.0079172445274713,0.7822446370864213,0.0134499537356954,426,46.14063559,12.07539462,70.95639999999999,5.7220458984375e-06,6.0,2.571331898458406,False,2.2137921438603834
048_BL_Po,11.313524861502696,0.008165170982053,0.8527098734681188,0.0045230121366645,1316,46.59362172,12.11232905,117.6492,5.7220458984375e-06,6.0,3.580024468449332,False,2.828381215375674
056_BL_Fo,13.11805992242483,0.0082994009048282,0.8978018170483034,0.0070353306989766,872,46.34666725,12.1845653,89.7095,5.7220458984375e-06,6.0,4.3196171968808255,True,3.2795149806062076
058_BL_Sa,10.381311297571754,0.0062927528174726,0.7814253333241662,0.0169188021994783,902,46.55719592,12.55254488,98.0267,5.7220458984375e-06,6.0,2.5366679250551503,True,2.5953278243929385
