station_id,A,B,c,breakpoint,min_K,max_K,Elv,Lat,Lon,distance_to_coast,int_scale
003_BL_Ar,11.521804032791362,0.0065773514729354,0.8151365300015162,0.0096103985767023,5.7220458984375e-06,6.0,1642,46.49998395,11.87607301,113.6647,2.9112983813980593
009_BL_Ca,11.24483412986735,0.00632623318361,0.801948007437228,0.0090416802772999,5.7220458984375e-06,6.0,1007,46.44043805,11.99004162,104.2038,3.136509938533665
011_BL_Ma,14.609241771875912,0.0043763331787961,0.8004143537760887,0.0137721570724239,5.7220458984375e-06,6.0,1475,46.42867129,11.90478762,105.53089999999999,3.23914253178919
015_BL_Ga,14.687434441573098,0.0059667199856049,0.8585393802557244,0.0100543415681894,5.7220458984375e-06,6.0,1365,46.3131289,11.88273666,94.8058,4.1623547150777735
019_BL_Ag,18.98798469040093,0.003926500952912,0.8427397807683271,0.0130439302636944,5.7220458984375e-06,6.0,585,46.27804651,12.03319083,86.2206,5.006361214025775
022_BL_Sa,10.993301965865138,0.0083302425024732,0.8489890548215656,0.0102813038639413,5.7220458984375e-06,6.0,544,46.04834616,12.15448034,59.0755,3.098425357219929
025_BL_So,8.855168535881337,0.0079172446965113,0.7822446397744893,0.0134499537356954,5.7220458984375e-06,6.0,426,46.14063559,12.07539462,70.95639999999999,2.571331898458406
048_BL_Po,11.313524800025608,0.0081651712432544,0.8527098786066014,0.0045230121366645,5.7220458984375e-06,6.0,1316,46.59362172,12.11232905,117.6492,3.5800244684493316
056_BL_Fo,13.1180561581272,0.0082994108660307,0.8978020068388838,0.0070353306989766,5.7220458984375e-06,6.0,872,46.34666725,12.1845653,89.7095,4.3196171968808255
058_BL_Sa,10.3813753861005,0.0062925731758678,0.7814219195976015,0.0169188021994783,5.7220458984375e-06,6.0,902,46.55719592,12.55254488,98.02669999999999,2.5366679250551507
059_BL_Do,6.660248748370671,0.0154895322889154,0.8371224045286061,2.730865002456124e-05,5.7220458984375e-06,6.0,822,46.46094955,12.41035969,94.6068,2.317783173685693
076_VI_Tu,16.507839408000354,0.0057706449923771,0.8823705925466804,0.0105919508177217,5.7220458984375e-06,6.0,714,45.70401092,11.18480016,82.7204,4.952253063930049
091_BL_Pa,17.780078360915702,0.0021527196769267,0.7356282365449088,0.0182860732531023,5.7220458984375e-06,6.0,1621,46.65215334,12.42397152,111.9813,3.499145045348624
093_BL_To,13.57167260071183,0.0020827018400143,0.6806314909853123,0.0350542987777272,5.7220458984375e-06,6.0,593,46.15155195,12.36301566,65.2115,2.414179836422567
096_RO_Ba,2.476021245341596,0.0660204619870375,0.8525499656587395,0.0020467067727612,5.7220458984375e-06,6.0,6,44.98944662,11.52950565,57.6021,0.942164261148533
101_RO_Po,2.711785454541473,0.0544116304865524,0.8341172565051068,0.0041637427501829,5.7220458984375e-06,6.0,-3,44.9173386,12.36910037,4.560899999999999,0.9681898776955704
104_VR_Vi,3.510735166207911,0.0248950692669556,0.7389161940488542,0.064219193198582,5.7220458984375e-06,6.0,67,45.3724202,10.83262812,102.63980000000001,0.9982195115823871
