station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
003_BL_Ar,0.04478360640069645,0.03546377140668529,0.058108249713492835,0.04192278144765849,0.129113543518719,0.07534845714560141,0.12061278197873662,0.10967742028876434,0.16840012811896965,,,,,,,,
009_BL_Ca,0.03616962270350901,0.04465061099642114,0.06181838655210053,0.06874533970398515,0.07020490279056295,0.06471198815479778,0.08298970723290713,0.10300897508450853,0.09421802090746662,,,,,,,,
011_BL_Ma,0.0657861572932229,0.045445520902638877,0.04229173681166873,0.04726933715510145,0.08281832297420513,0.10240275076227306,0.07142154337022479,0.15735587053732183,0.16162341413644696,,,,,,,,
015_BL_Ga,0.061713863112071325,0.05135747656754885,0.06580961266323421,0.05605106604638545,0.06861205519046386,0.1384267508741822,0.1057541603341771,0.06592881384394608,0.11340716209169026,,,,,,,,
019_BL_Ag,0.04287048742401383,0.04399878406755391,0.06197422487248565,0.042840533661243775,0.08039517539692796,0.05983247071676865,0.09408420127537558,0.09614548060215845,0.0906918742304268,,,,,,,,
022_BL_Sa,-0.009307197350653237,0.05790751469959127,0.09720760653799379,0.08899932936220614,0.10207654783342052,0.11315138524974303,0.1049463808215031,0.07948097265060132,0.17598819479605893,,,,,,,,
025_BL_So,0.03772315367650656,0.04265285305798635,0.08431047671989003,0.04201091141967616,0.05652506587322648,0.09654317360668734,0.10687585680249109,-0.031373644141836174,0.14955774948992323,,,,,,,,
048_BL_Po,0.05352898740335596,0.027863220809650768,0.10619384731792263,0.08296587100020691,0.09900672109242552,0.11605278336854853,0.2001873916011258,0.11948528161519206,0.1809477071534586,,,,,,,,
056_BL_Fo,0.03133984298606251,0.05841441458255358,0.09570496796170862,0.08653959427335788,0.09175257303980237,0.13533497152612717,0.11019067147646681,0.04936176118655244,0.14631451752222843,,,,,,,,
058_BL_Sa,0.04071527276037348,0.010811264675894773,0.03425042943708356,0.042255756820402994,0.12957149606762297,0.11349356819031403,0.08784641492829542,0.1972244219975426,0.1281966177499017,,,,,,,,
059_BL_Do,0.02377673409509144,0.04176368256836047,0.04587939813799392,0.035534891374933854,0.09280524122438394,0.06802815702484391,0.13554575414069053,0.2464668721647024,0.11919260966270945,0.10913700039017857,,,,,,,
076_VI_Tu,0.035646681256476576,0.03923461855897593,0.047224329895471956,0.06436765942379255,0.08019283134806193,0.0950111970423187,0.1354604645454704,0.18902896849063597,-0.03422876195722012,,,,,,,,
091_BL_Pa,0.0486666336641959,0.04246961949600786,0.049560231043933596,0.06696547392743031,0.040933544615941064,0.026704595413433743,0.12690735103635598,0.11061953184488843,0.08096630106226224,0.13810550389268497,,,,,,,
093_BL_To,0.0503003745555526,0.04591750839189673,0.05853209568051252,0.07667077708919319,0.014808773668761205,0.04691457347000989,0.09717736464334248,0.11822562151972836,,,,,,,,,
