station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
003_BL_Ar,7.427254465952235,6.89412158340113,5.9002810575331885,4.670307495186975,4.349602411350152,4.372191767467045,4.217203255904223,3.998286228904828,4.088998182236602,,,,,,,,
009_BL_Ca,8.145392398686548,7.986491911960054,6.321719595250385,4.4680375208892436,4.806441322727771,4.415808156088779,5.0021229023888845,4.172932857311339,4.571092784864555,,,,,,,,
011_BL_Ma,5.915969900337505,5.564817495158701,5.555763919089258,4.656085793894093,4.375930978116568,3.8981315348955943,4.323211121409961,4.548227094182704,3.968761605425195,,,,,,,,
015_BL_Ga,7.541469260245963,5.45982876925698,5.173459810877161,3.8934315907164323,4.222934072561947,3.831579737414459,4.342401870539253,4.461833189809887,3.512558640637731,,,,,,,,
019_BL_Ag,6.976668554427331,7.208400294970021,5.470815871936153,5.584665961241319,4.791354746212521,5.160276766443515,5.867791433887828,6.916308447662752,6.562625720728591,,,,,,,,
022_BL_Sa,7.154863521360855,6.321974446041461,6.257331240795477,4.939754135929754,5.403736254147235,5.378638872093715,5.789911340004088,6.840399346818785,5.032968931834502,,,,,,,,
025_BL_So,6.682297010470313,6.839494969424934,5.738465532466275,5.368448822825831,5.7638369827002744,5.228001204179502,4.269659108136446,99.99999666774956,3.854244064238092,,,,,,,,
048_BL_Po,8.403530739842125,6.898027235425346,5.693534751502862,5.086915961797065,3.6748254083694007,3.859867804600946,4.1587140608008015,3.8816032366483038,3.709712320434523,,,,,,,,
056_BL_Fo,7.503310414064107,6.3790891239291785,5.701570040372914,4.523248089954079,4.420873992513005,3.8934672757529007,4.851461671632953,5.6998452850554155,99.99999737503349,,,,,,,,
058_BL_Sa,9.84248082554318,8.687234450307043,7.698105657012044,5.470113062575653,4.569777015469333,4.251970646622098,5.297479026452654,3.7580232199956023,3.6094239529547587,,,,,,,,
059_BL_Do,9.956770333012468,7.582684312557246,6.99514218039382,5.603528807055034,5.002698451103465,4.442032655196664,3.9821961190668484,3.501868112819833,4.011493567521616,3.8173973741949405,,,,,,,
076_VI_Tu,6.676626303900569,6.60465217445251,6.0843153393773415,4.958916344047727,4.371211740863924,4.5472523940720055,4.747021162097049,4.157948142862338,4.965420833765692,,,,,,,,
091_BL_Pa,8.385903287226045,6.326749916816578,5.577952886162337,4.825100987547978,4.475273496037459,4.689641032224734,3.854098712233332,4.181482517087169,4.250995942363785,3.704767923571878,,,,,,,
093_BL_To,6.274242243103545,6.558634218296634,5.7804579554779325,6.674182211085636,5.974175123408735,5.72827850498894,5.497054364832585,5.697747599774068,,,,,,,,,
096_RO_Ba,9.407213651409021,12.334660941792789,9.754454255063006,8.932834849092755,7.811840358295246,7.361795158680723,5.778538868752754,5.43318898048729,,,,,,,,,
101_RO_Po,10.795158898622008,8.376312103417806,10.342114998651672,9.49074946735587,8.698141446153654,7.201943198271182,6.913228590943304,6.2504841490326335,,,,,,,,,
104_VR_Vi,11.52722063570479,11.99222363916895,7.856235894290427,8.389428319202974,7.3665282466661735,6.569243304783624,5.791794218283534,5.627286115119562,,,,,,,,,
105_VI_Lo,9.393292645621615,11.616899446047528,9.673598608988605,8.955571448751996,8.601467568480661,7.5267702518757895,6.110115963848814,5.609936365897125,3.3258782812314864,3.1554904237924624,2.2466316513963442,1.8181922446483796,0.8579899129786355,0.8000002467886971,0.8000005392295182,0.8000002409800587,
112_RO_Ro,11.507397578009448,11.562258765969327,10.882505907559006,9.609049834661162,6.986000719692773,6.361527024563221,7.441187540083573,7.408213105002531,,,,,,,,,
114_RO_Vi,12.337951613175342,9.361061217954635,11.888888621510059,9.539792407398581,8.249296216192292,7.947179151981318,6.1237035775247275,6.173375555573275,,,,,,,,,
115_RO_Ad,9.997939868344877,13.175890055925208,12.580234228631378,9.750893655421569,7.85202427027838,7.02811707793916,7.534222087519234,4.911961851125699,3.846577021405714,,,,,,,,
116_RO_Fr,12.570759286472713,12.040910175870454,11.427593200672698,10.839244086109238,8.893752506262722,7.853872891628896,6.0662957938849384,,,,,,,,,,
117_VR_So,11.325209169142562,11.837355580944852,11.82299462782151,9.28045731463052,8.508182125598804,8.266796126041752,,,,,,,,,,,
118_VR_Ba,10.097844706488281,10.660642268888513,10.26883557986527,9.312615233062619,6.870318962346602,6.724634401856341,,,,,,,,,,,
120_VR_Do,11.093707552070606,10.712390060203367,8.252894796638111,7.225067561520904,6.185734514547028,6.8527961799728825,5.29015614761715,,,,,,,,,,
123_VR_Ar,11.946662863393511,14.424045926303636,10.543345228769821,9.98512726593923,8.866475301826984,6.94393383613326,5.052728755937917,,,,,,,,,,
125_VR_Sa,13.344211427081989,11.677474500884761,10.583724983546396,9.854659830558083,8.050546669076159,,,,,,,,,,,,
126_VR_Il,10.440883775905855,11.657586611525616,11.215100029482198,8.883713091767437,7.528011190260201,6.299043489040854,,,,,,,,,,,
127_VR_Bu,13.12982846881729,13.022557113643161,10.939240041920467,9.582203525412671,8.513400353246597,,,,,,,,,,,,
128_VR_Gr,11.603161468943636,9.86229195429679,8.754731605805429,8.677961604621158,8.16563286525468,,,,,,,,,,,,
129_VR_Ca,10.529549150921348,10.433647263938843,11.17348030355765,9.520172438837779,7.9212062966312535,7.21016940090985,6.265696170008201,99.9999088488602,,,,,,,,,
134_VI_Ma,9.591518287363034,7.181222124588554,9.296143972150157,9.26401597341838,7.6565758309767284,5.735721319505591,5.050908686341971,4.908070878453001,,,,,,,,,
135_VI_Ri,6.016982396026193,5.735098107867624,6.111406469034219,5.782765379916289,5.36112665800363,5.023252566431457,4.642912495740367,5.013601963285604,4.481047818025698,,,,,,,,
137_VI_Va,5.689200645478068,5.679175252758362,5.902687944031011,6.045965817466129,6.26192965688666,6.239525379600012,5.402858900003786,4.77979515249062,5.649902518367093,,,,,,,,
139_VI_Lu,7.108064086318061,8.151320784660285,7.561211475148411,6.261322203566816,7.355907868533908,5.638579207065351,5.030968541885542,4.323869896777136,3.723751655601498,,,,,,,,
140_VI_Pa,6.883049794379328,7.528452325369374,7.896119610979326,6.123152676547251,5.565155763191533,5.476713337659523,5.103458794444965,4.774258827347288,4.800289675355651,,,,,,,,
144_VI_Ro,9.146280209736288,10.676114641241412,10.333183685779103,9.341772000375618,8.207854188700153,6.38599753701429,5.775907413131841,4.416334281257964,,,,,,,,,
145_VI_Ba,9.924579062810437,10.507749133487698,8.79318383452573,8.657159217404299,6.451934617964943,6.75025162680914,5.996070856564925,99.99942779607163,4.682104199940843,,,,,,,,
147_VI_Br,8.568676125114408,8.825802660181127,8.377912764634043,7.595866741484809,6.421993940227979,5.945791399963535,4.567010971692486,99.99986982554908,,,,,,,,,
148_VI_Br,9.88403620701771,11.33827326411239,10.36480626895391,7.788649764684824,6.237030305373509,6.425893841977112,5.4330553999142825,5.246261181153612,4.744506155521055,,,,,,,,
149_VI_Mo,10.341584086767757,11.975168052575096,10.975463488583486,7.804738465212207,8.01879615397064,7.223186768864579,5.798455051227757,,,,,,,,,,
